date,product,sales,promotion,holiday
2022-01-01,Paracetamol_500mg,48,0,0
2022-01-02,Paracetamol_500mg,45,0,0
2022-01-03,Paracetamol_500mg,63,0,0
2022-01-04,Paracetamol_500mg,52,0,0
2022-01-05,Paracetamol_500mg,66,0,0
2022-01-06,Paracetamol_500mg,75,0,0
2022-01-07,Paracetamol_500mg,69,0,0
2022-01-08,Paracetamol_500mg,50,0,0
2022-01-09,Paracetamol_500mg,58,0,0
2022-01-10,Paracetamol_500mg,58,0,0
2022-01-11,Paracetamol_500mg,61,0,0
2022-01-12,Paracetamol_500mg,62,0,0
2022-01-13,Paracetamol_500mg,56,0,0
2022-01-14,Paracetamol_500mg,68,0,0
2022-01-15,Paracetamol_500mg,45,0,0
2022-01-16,Paracetamol_500mg,59,0,0
2022-01-17,Paracetamol_500mg,61,0,0
2022-01-18,Paracetamol_500mg,62,0,0
2022-01-19,Paracetamol_500mg,59,0,0
2022-01-20,Paracetamol_500mg,63,0,0
2022-01-21,Paracetamol_500mg,84,1,0
2022-01-22,Paracetamol_500mg,59,1,0
2022-01-23,Paracetamol_500mg,64,1,0
2022-01-24,Paracetamol_500mg,101,1,0
2022-01-25,Paracetamol_500mg,82,1,0
2022-01-26,Paracetamol_500mg,79,1,0
2022-01-27,Paracetamol_500mg,82,1,0
2022-01-28,Paracetamol_500mg,90,1,0
2022-01-29,Paracetamol_500mg,77,1,0
2022-01-30,Paracetamol_500mg,60,0,0
2022-01-31,Paracetamol_500mg,57,0,0
2022-02-01,Paracetamol_500mg,75,0,0
2022-02-02,Paracetamol_500mg,53,0,0
2022-02-03,Paracetamol_500mg,67,0,0
2022-02-04,Paracetamol_500mg,70,0,0
2022-02-05,Paracetamol_500mg,61,0,0
2022-02-06,Paracetamol_500mg,67,0,0
2022-02-07,Paracetamol_500mg,66,0,0
2022-02-08,Paracetamol_500mg,69,0,0
2022-02-09,Paracetamol_500mg,66,0,0
2022-02-10,Paracetamol_500mg,68,0,0
2022-02-11,Paracetamol_500mg,65,0,0
2022-02-12,Paracetamol_500mg,64,0,0
2022-02-13,Paracetamol_500mg,63,0,0
2022-02-14,Paracetamol_500mg,63,0,0
2022-02-15,Paracetamol_500mg,72,0,0
2022-02-16,Paracetamol_500mg,70,0,0
2022-02-17,Paracetamol_500mg,61,0,0
2022-02-18,Paracetamol_500mg,66,0,0
2022-02-19,Paracetamol_500mg,54,0,0
2022-02-20,Paracetamol_500mg,52,0,0
2022-02-21,Paracetamol_500mg,53,0,0
2022-02-22,Paracetamol_500mg,59,0,0
2022-02-23,Paracetamol_500mg,69,0,0
2022-02-24,Paracetamol_500mg,65,0,0
2022-02-25,Paracetamol_500mg,56,0,0
2022-02-26,Paracetamol_500mg,51,0,0
2022-02-27,Paracetamol_500mg,59,0,0
2022-02-28,Paracetamol_500mg,54,0,0
2022-03-01,Paracetamol_500mg,59,0,0
2022-03-02,Paracetamol_500mg,60,0,0
2022-03-03,Paracetamol_500mg,71,0,0
2022-03-04,Paracetamol_500mg,71,0,0
2022-03-05,Paracetamol_500mg,63,0,0
2022-03-06,Paracetamol_500mg,61,0,0
2022-03-07,Paracetamol_500mg,64,0,0
2022-03-08,Paracetamol_500mg,65,0,0
2022-03-09,Paracetamol_500mg,64,0,0
2022-03-10,Paracetamol_500mg,61,0,0
2022-03-11,Paracetamol_500mg,60,0,0
2022-03-12,Paracetamol_500mg,57,0,0
2022-03-13,Paracetamol_500mg,65,0,0
2022-03-14,Paracetamol_500mg,60,0,0
2022-03-15,Paracetamol_500mg,79,0,0
2022-03-16,Paracetamol_500mg,62,0,0
2022-03-17,Paracetamol_500mg,72,0,0
2022-03-18,Paracetamol_500mg,71,0,0
2022-03-19,Paracetamol_500mg,56,0,0
2022-03-20,Paracetamol_500mg,65,0,0
