date,product,temperature,holiday,outbreak,sales
2022-01-01,ORS_Solution,21.165561867580813,1,0,81
2022-01-01,Paracetamol_500mg,21.165561867580813,1,0,31
2022-01-01,Antibiotic_A,21.165561867580813,1,0,27
2022-01-01,Sunscreen,21.165561867580813,1,0,21
2022-01-01,Travel_Antidiarrheal,21.165561867580813,1,0,21
2022-01-02,ORS_Solution,22.36524668584051,1,0,82
2022-01-02,Paracetamol_500mg,22.36524668584051,1,0,44
2022-01-02,Antibiotic_A,22.36524668584051,1,0,26
2022-01-02,Sunscreen,22.36524668584051,1,0,10
2022-01-02,Travel_Antidiarrheal,22.36524668584051,1,0,10
2022-01-03,ORS_Solution,17.066361007206474,0,0,61
2022-01-03,Paracetamol_500mg,17.066361007206474,0,0,36
2022-01-03,Antibiotic_A,17.066361007206474,0,0,25
2022-01-03,Sunscreen,17.066361007206474,0,0,32
2022-01-03,Travel_Antidiarrheal,17.066361007206474,0,0,32
2022-01-04,ORS_Solution,21.4764903117824,0,1,67
2022-01-04,Paracetamol_500mg,21.4764903117824,0,1,58
2022-01-04,Antibiotic_A,21.4764903117824,0,1,25
2022-01-04,Sunscreen,21.4764903117824,0,1,18
2022-01-04,Travel_Antidiarrheal,21.4764903117824,0,1,18
2022-01-05,ORS_Solution,19.656234762915673,0,0,78
2022-01-05,Paracetamol_500mg,19.656234762915673,0,0,35
2022-01-05,Antibiotic_A,19.656234762915673,0,0,27
2022-01-05,Sunscreen,19.656234762915673,0,0,33
2022-01-05,Travel_Antidiarrheal,19.656234762915673,0,0,33
2022-01-06,ORS_Solution,23.41829642303898,0,0,80
2022-01-06,Paracetamol_500mg,23.41829642303898,0,0,41
2022-01-06,Antibiotic_A,23.41829642303898,0,0,25
2022-01-06,Sunscreen,23.41829642303898,0,0,18
2022-01-06,Travel_Antidiarrheal,23.41829642303898,0,0,18
2022-01-07,ORS_Solution,18.24503646825867,0,0,62
2022-01-07,Paracetamol_500mg,18.24503646825867,0,0,29
2022-01-07,Antibiotic_A,18.24503646825867,0,0,24
2022-01-07,Sunscreen,18.24503646825867,0,0,22
2022-01-07,Travel_Antidiarrheal,18.24503646825867,0,0,22
2022-01-08,ORS_Solution,23.148284640319364,1,0,82
2022-01-08,Paracetamol_500mg,23.148284640319364,1,0,37
2022-01-08,Antibiotic_A,23.148284640319364,1,0,23
2022-01-08,Sunscreen,23.148284640319364,1,0,14
2022-01-08,Travel_Antidiarrheal,23.148284640319364,1,0,14
2022-01-09,ORS_Solution,23.168139851431206,1,0,93
2022-01-09,Paracetamol_500mg,23.168139851431206,1,0,31
2022-01-09,Antibiotic_A,23.168139851431206,1,0,30
2022-01-09,Sunscreen,23.168139851431206,1,0,20
2022-01-09,Travel_Antidiarrheal,23.168139851431206,1,0,20
2022-01-10,ORS_Solution,21.11491674088304,0,0,76
2022-01-10,Paracetamol_500mg,21.11491674088304,0,0,40
2022-01-10,Antibiotic_A,21.11491674088304,0,0,27
2022-01-10,Sunscreen,21.11491674088304,0,0,17
2022-01-10,Travel_Antidiarrheal,21.11491674088304,0,0,17
2022-01-11,ORS_Solution,22.885163761482055,0,0,81
2022-01-11,Paracetamol_500mg,22.885163761482055,0,0,35
2022-01-11,Antibiotic_A,22.885163761482055,0,0,32
2022-01-11,Sunscreen,22.885163761482055,0,0,18
2022-01-11,Travel_Antidiarrheal,22.885163761482055,0,0,18
2022-01-12,ORS_Solution,19.124015102421954,0,0,54
2022-01-12,Paracetamol_500mg,19.124015102421954,0,0,42
2022-01-12,Antibiotic_A,19.124015102421954,0,0,27
2022-01-12,Sunscreen,19.124015102421954,0,0,19
2022-01-12,Travel_Antidiarrheal,19.124015102421954,0,0,19
2022-01-13,ORS_Solution,22.649092790231165,0,0,65
2022-01-13,Paracetamol_500mg,22.649092790231165,0,0,42
2022-01-13,Antibiotic_A,22.649092790231165,0,0,27
2022-01-13,Sunscreen,22.649092790231165,0,0,20
2022-01-13,Travel_Antidiarrheal,22.649092790231165,0,0,20
2022-01-14,ORS_Solution,27.31321188503007,0,0,87
2022-01-14,Paracetamol_500mg,27.31321188503007,0,0,37
2022-01-14,Antibiotic_A,27.31321188503007,0,0,27
2022-01-14,Sunscreen,27.31321188503007,0,0,26
2022-01-14,Travel_Antidiarrheal,27.31321188503007,0,0,26
2022-01-15,ORS_Solution,24.088126628574678,1,0,82
2022-01-15,Paracetamol_500mg,24.088126628574678,1,0,46
2022-01-15,Antibiotic_A,24.088126628574678,1,0,25
2022-01-15,Sunscreen,24.088126628574678,1,0,17
2022-01-15,Travel_Antidiarrheal,24.088126628574678,1,0,17
2022-01-16,ORS_Solution,24.56590679202496,1,0,89
2022-01-16,Paracetamol_500mg,24.56590679202496,1,0,35
2022-01-16,Antibiotic_A,24.56590679202496,1,0,19
2022-01-16,Sunscreen,24.56590679202496,1,0,20
2022-01-16,Travel_Antidiarrheal,24.56590679202496,1,0,20
2022-01-17,ORS_Solution,20.76021690135388,0,0,73
2022-01-17,Paracetamol_500mg,20.76021690135388,0,0,44
2022-01-17,Antibiotic_A,20.76021690135388,0,0,25
2022-01-17,Sunscreen,20.76021690135388,0,0,18
2022-01-17,Travel_Antidiarrheal,20.76021690135388,0,0,18
2022-01-18,ORS_Solution,24.161455843630822,0,0,79
2022-01-18,Paracetamol_500mg,24.161455843630822,0,0,50
2022-01-18,Antibiotic_A,24.161455843630822,0,0,21
2022-01-18,Sunscreen,24.161455843630822,0,0,25
2022-01-18,Travel_Antidiarrheal,24.161455843630822,0,0,25
2022-01-19,ORS_Solution,25.811490245452617,0,0,77
2022-01-19,Paracetamol_500mg,25.811490245452617,0,0,42
2022-01-19,Antibiotic_A,25.811490245452617,0,0,28
2022-01-19,Sunscreen,25.811490245452617,0,0,23
