Date,Product,Model,Forecast,Actual
2024-12-01,Paracetamol_500mg,ARIMA,58.798008396927436,58
2024-12-02,Paracetamol_500mg,ARIMA,60.39923739592363,57
2024-12-03,Paracetamol_500mg,ARIMA,61.29803887596245,67
2024-12-04,Paracetamol_500mg,ARIMA,60.91454596724405,63
2024-12-05,Paracetamol_500mg,ARIMA,60.48225970272882,68
2024-12-06,Paracetamol_500mg,ARIMA,60.1747307180645,60
2024-12-07,Paracetamol_500mg,ARIMA,60.09479082809979,59
2024-12-08,Paracetamol_500mg,ARIMA,60.12563453100604,62
2024-12-09,Paracetamol_500mg,ARIMA,60.18374919662574,63
2024-12-10,Paracetamol_500mg,ARIMA,60.22076679445204,68
2024-12-11,Paracetamol_500mg,ARIMA,60.232085384887334,57
2024-12-12,Paracetamol_500mg,ARIMA,60.22841122284687,65
2024-12-13,Paracetamol_500mg,ARIMA,60.221357845672635,67
2024-12-14,Paracetamol_500mg,ARIMA,60.21665390284653,61
2024-12-15,Paracetamol_500mg,ARIMA,60.21516906884501,59
2024-12-16,Paracetamol_500mg,ARIMA,60.21557078097885,92
2024-12-17,Paracetamol_500mg,ARIMA,60.21643763770996,57
2024-12-18,Paracetamol_500mg,ARIMA,60.21703007189366,70
2024-12-19,Paracetamol_500mg,ARIMA,60.21722590205788,59
2024-12-20,Paracetamol_500mg,ARIMA,60.217182342673475,61
2024-12-21,Paracetamol_500mg,ARIMA,60.21707617231392,54
2024-12-22,Paracetamol_500mg,ARIMA,60.21700155958011,56
2024-12-23,Paracetamol_500mg,ARIMA,60.21697585533979,60
2024-12-24,Paracetamol_500mg,ARIMA,60.2169804510394,65
2024-12-25,Paracetamol_500mg,ARIMA,60.21699343861223,67
2024-12-26,Paracetamol_500mg,ARIMA,60.217002823983904,70
2024-12-27,Paracetamol_500mg,ARIMA,60.2170061875683,51
2024-12-28,Paracetamol_500mg,ARIMA,60.217005719820676,53
2024-12-29,Paracetamol_500mg,ARIMA,60.2170041336492,59
2024-12-30,Paracetamol_500mg,ARIMA,60.2170029543191,62
2024-12-01,Cough_Syrup,ARIMA,15.25995032361225,17
2024-12-02,Cough_Syrup,ARIMA,19.920209569195272,20
2024-12-03,Cough_Syrup,ARIMA,24.630005084970378,24
2024-12-04,Cough_Syrup,ARIMA,25.960101373606374,26
2024-12-05,Cough_Syrup,ARIMA,23.033084438048604,22
2024-12-06,Cough_Syrup,ARIMA,17.91463711022274,16
2024-12-07,Cough_Syrup,ARIMA,14.451661771644016,12
2024-12-08,Cough_Syrup,ARIMA,15.253108186790023,14
2024-12-09,Cough_Syrup,ARIMA,19.71819530533483,21
2024-12-10,Cough_Syrup,ARIMA,24.484692540305275,23
2024-12-11,Cough_Syrup,ARIMA,25.96427193514606,26
2024-12-12,Cough_Syrup,ARIMA,23.044094204274906,24
2024-12-13,Cough_Syrup,ARIMA,17.92371226410872,15
2024-12-14,Cough_Syrup,ARIMA,14.458211963753994,17
