Date,Product,Model,Forecast,Actual
2024-12-01,Paracetamol_500mg,LSTM,63.47036,58
2024-12-02,Paracetamol_500mg,LSTM,63.478992,75
2024-12-03,Paracetamol_500mg,LSTM,63.534103,74
2024-12-04,Paracetamol_500mg,LSTM,63.544968,71
2024-12-05,Paracetamol_500mg,LSTM,63.58391,95
2024-12-06,Paracetamol_500mg,LSTM,63.527504,74
2024-12-07,Paracetamol_500mg,LSTM,63.496853,73
2024-12-08,Paracetamol_500mg,LSTM,69.84854,65
2024-12-09,Paracetamol_500mg,LSTM,74.5154,92
2024-12-10,Paracetamol_500mg,LSTM,75.96923,105
2024-12-11,Paracetamol_500mg,LSTM,75.45538,77
2024-12-12,Paracetamol_500mg,LSTM,74.30394,63
2024-12-13,Paracetamol_500mg,LSTM,67.19376,70
2024-12-14,Paracetamol_500mg,LSTM,63.631775,65
2024-12-15,Paracetamol_500mg,LSTM,61.867058,69
2024-12-16,Paracetamol_500mg,LSTM,66.56677,75
2024-12-17,Paracetamol_500mg,LSTM,70.0558,60
2024-12-18,Paracetamol_500mg,LSTM,71.19623,86
2024-12-19,Paracetamol_500mg,LSTM,70.68405,77
2024-12-20,Paracetamol_500mg,LSTM,64.93772,69
2024-12-21,Paracetamol_500mg,LSTM,62.172653,55
2024-12-22,Paracetamol_500mg,LSTM,60.832092,70
2024-12-23,Paracetamol_500mg,LSTM,60.146324,75
2024-12-24,Paracetamol_500mg,LSTM,59.991707,64
2024-12-25,Paracetamol_500mg,LSTM,60.09696,67
2024-12-26,Paracetamol_500mg,LSTM,60.288162,69
2024-12-27,Paracetamol_500mg,LSTM,60.368813,78
2024-12-28,Paracetamol_500mg,LSTM,60.39271,70
2024-12-29,Paracetamol_500mg,LSTM,60.363403,78
2024-12-30,Paracetamol_500mg,LSTM,60.297535,64
2024-12-01,Vitamin_C,LSTM,62.40917,76
2024-12-02,Vitamin_C,LSTM,58.94533,75
2024-12-03,Vitamin_C,LSTM,56.48225,60
2024-12-04,Vitamin_C,LSTM,55.038307,68
2024-12-05,Vitamin_C,LSTM,54.380768,56
2024-12-06,Vitamin_C,LSTM,54.217827,53
2024-12-07,Vitamin_C,LSTM,54.300453,54
2024-12-08,Vitamin_C,LSTM,54.475075,52
2024-12-09,Vitamin_C,LSTM,54.648773,49
2024-12-10,Vitamin_C,LSTM,54.77914,83
2024-12-11,Vitamin_C,LSTM,54.819763,80
2024-12-12,Vitamin_C,LSTM,54.80673,68
2024-12-13,Vitamin_C,LSTM,54.746796,64
2024-12-14,Vitamin_C,LSTM,54.671455,61
2024-12-15,Vitamin_C,LSTM,54.593086,70
2024-12-16,Vitamin_C,LSTM,54.52365,56
2024-12-17,Vitamin_C,LSTM,54.552265,61
2024-12-18,Vitamin_C,LSTM,54.557568,63
2024-12-19,Vitamin_C,LSTM,54.54073,60
2024-12-20,Vitamin_C,LSTM,54.50713,53
2024-12-21,Vitamin_C,LSTM,54.469917,53
2024-12-22,Vitamin_C,LSTM,61.83287,60
2024-12-23,Vitamin_C,LSTM,66.47988,63
2024-12-24,Vitamin_C,LSTM,66.86085,65
2024-12-25,Vitamin_C,LSTM,64.989494,66
2024-12-26,Vitamin_C,LSTM,63.06433,68
2024-12-27,Vitamin_C,LSTM,61.577152,59
2024-12-28,Vitamin_C,LSTM,60.688614,57
2024-12-29,Vitamin_C,LSTM,60.23356,51
2024-12-30,Vitamin_C,LSTM,59.99638,57
2024-12-01,Antibiotic_A,LSTM,56.338493,52
