Date,Product,Model,Forecast,Actual
2024-12-01,ORS_Solution,XGBoost,64,80
2024-12-01,Paracetamol_500mg,XGBoost,36,46
2024-12-01,Antibiotic_A,XGBoost,27,32
2024-12-01,Sunscreen,XGBoost,19,28
2024-12-01,Travel_Antidiarrheal,XGBoost,19,28
2024-12-02,ORS_Solution,XGBoost,72,56
2024-12-02,Paracetamol_500mg,XGBoost,39,36
2024-12-02,Antibiotic_A,XGBoost,28,26
2024-12-02,Sunscreen,XGBoost,20,27
2024-12-02,Travel_Antidiarrheal,XGBoost,20,27
2024-12-03,ORS_Solution,XGBoost,54,51
2024-12-03,Paracetamol_500mg,XGBoost,35,45
2024-12-03,Antibiotic_A,XGBoost,26,20
2024-12-03,Sunscreen,XGBoost,19,18
2024-12-03,Travel_Antidiarrheal,XGBoost,19,18
2024-12-04,ORS_Solution,XGBoost,56,71
2024-12-04,Paracetamol_500mg,XGBoost,38,51
2024-12-04,Antibiotic_A,XGBoost,26,31
2024-12-04,Sunscreen,XGBoost,22,27
2024-12-04,Travel_Antidiarrheal,XGBoost,21,27
2024-12-05,ORS_Solution,XGBoost,65,51
2024-12-05,Paracetamol_500mg,XGBoost,40,25
2024-12-05,Antibiotic_A,XGBoost,27,31
2024-12-05,Sunscreen,XGBoost,20,15
2024-12-05,Travel_Antidiarrheal,XGBoost,21,15
2024-12-06,ORS_Solution,XGBoost,65,55
2024-12-06,Paracetamol_500mg,XGBoost,42,39
2024-12-06,Antibiotic_A,XGBoost,27,32
2024-12-06,Sunscreen,XGBoost,21,13
2024-12-06,Travel_Antidiarrheal,XGBoost,21,13
2024-12-07,ORS_Solution,XGBoost,70,60
2024-12-07,Paracetamol_500mg,XGBoost,43,37
2024-12-07,Antibiotic_A,XGBoost,26,34
2024-12-07,Sunscreen,XGBoost,18,18
2024-12-07,Travel_Antidiarrheal,XGBoost,18,18
2024-12-08,ORS_Solution,XGBoost,76,64
2024-12-08,Paracetamol_500mg,XGBoost,42,31
2024-12-08,Antibiotic_A,XGBoost,28,38
2024-12-08,Sunscreen,XGBoost,21,15
2024-12-08,Travel_Antidiarrheal,XGBoost,21,15
2024-12-09,ORS_Solution,XGBoost,65,58
2024-12-09,Paracetamol_500mg,XGBoost,40,32
2024-12-09,Antibiotic_A,XGBoost,27,28
2024-12-09,Sunscreen,XGBoost,20,21
2024-12-09,Travel_Antidiarrheal,XGBoost,21,21
2024-12-10,ORS_Solution,XGBoost,66,64
2024-12-10,Paracetamol_500mg,XGBoost,40,45
2024-12-10,Antibiotic_A,XGBoost,28,34
2024-12-10,Sunscreen,XGBoost,20,19
2024-12-10,Travel_Antidiarrheal,XGBoost,20,19
2024-12-11,ORS_Solution,XGBoost,66,56
2024-12-11,Paracetamol_500mg,XGBoost,37,45
2024-12-11,Antibiotic_A,XGBoost,26,28
2024-12-11,Sunscreen,XGBoost,15,16
2024-12-11,Travel_Antidiarrheal,XGBoost,15,16
2024-12-12,ORS_Solution,XGBoost,64,55
2024-12-12,Paracetamol_500mg,XGBoost,37,32
2024-12-12,Antibiotic_A,XGBoost,25,37
2024-12-12,Sunscreen,XGBoost,18,17
2024-12-12,Travel_Antidiarrheal,XGBoost,18,17
2024-12-13,ORS_Solution,XGBoost,64,55
2024-12-13,Paracetamol_500mg,XGBoost,38,41
2024-12-13,Antibiotic_A,XGBoost,26,30
2024-12-13,Sunscreen,XGBoost,19,18
2024-12-13,Travel_Antidiarrheal,XGBoost,19,18
2024-12-14,ORS_Solution,XGBoost,64,60
2024-12-14,Paracetamol_500mg,XGBoost,35,47
2024-12-14,Antibiotic_A,XGBoost,26,26
2024-12-14,Sunscreen,XGBoost,18,21
2024-12-14,Travel_Antidiarrheal,XGBoost,18,21
2024-12-15,ORS_Solution,XGBoost,83,80
2024-12-15,Paracetamol_500mg,XGBoost,43,43
2024-12-15,Antibiotic_A,XGBoost,29,26
2024-12-15,Sunscreen,XGBoost,23,21
2024-12-15,Travel_Antidiarrheal,XGBoost,22,21
2024-12-16,ORS_Solution,XGBoost,71,73
2024-12-16,Paracetamol_500mg,XGBoost,38,34
2024-12-16,Antibiotic_A,XGBoost,25,34
2024-12-16,Sunscreen,XGBoost,19,23
2024-12-16,Travel_Antidiarrheal,XGBoost,19,23
2024-12-17,ORS_Solution,XGBoost,66,62
2024-12-17,Paracetamol_500mg,XGBoost,37,46
2024-12-17,Antibiotic_A,XGBoost,26,34
2024-12-17,Sunscreen,XGBoost,15,17
2024-12-17,Travel_Antidiarrheal,XGBoost,15,17
2024-12-18,ORS_Solution,XGBoost,67,76
2024-12-18,Paracetamol_500mg,XGBoost,42,35
2024-12-18,Antibiotic_A,XGBoost,29,27
2024-12-18,Sunscreen,XGBoost,23,22
2024-12-18,Travel_Antidiarrheal,XGBoost,23,22
2024-12-19,ORS_Solution,XGBoost,73,58
2024-12-19,Paracetamol_500mg,XGBoost,37,46
2024-12-19,Antibiotic_A,XGBoost,28,33
2024-12-19,Sunscreen,XGBoost,20,19
2024-12-19,Travel_Antidiarrheal,XGBoost,20,19
2024-12-20,ORS_Solution,XGBoost,70,69
2024-12-20,Paracetamol_500mg,XGBoost,63,42
2024-12-20,Antibiotic_A,XGBoost,30,21
2024-12-20,Sunscreen,XGBoost,20,16
2024-12-20,Travel_Antidiarrheal,XGBoost,20,16
2024-12-21,ORS_Solution,XGBoost,73,67
2024-12-21,Paracetamol_500mg,XGBoost,41,34
2024-12-21,Antibiotic_A,XGBoost,31,30
2024-12-21,Sunscreen,XGBoost,19,23
2024-12-21,Travel_Antidiarrheal,XGBoost,19,23
2024-12-22,ORS_Solution,XGBoost,75,80
2024-12-22,Paracetamol_500mg,XGBoost,39,28
2024-12-22,Antibiotic_A,XGBoost,26,31
2024-12-22,Sunscreen,XGBoost,21,16
2024-12-22,Travel_Antidiarrheal,XGBoost,21,16
2024-12-23,ORS_Solution,XGBoost,69,69
2024-12-23,Paracetamol_500mg,XGBoost,61,28
2024-12-23,Antibiotic_A,XGBoost,27,28
2024-12-23,Sunscreen,XGBoost,18,21
2024-12-23,Travel_Antidiarrheal,XGBoost,18,21
2024-12-24,ORS_Solution,XGBoost,68,67
2024-12-24,Paracetamol_500mg,XGBoost,37,26
2024-12-24,Antibiotic_A,XGBoost,25,25
2024-12-24,Sunscreen,XGBoost,20,12
2024-12-24,Travel_Antidiarrheal,XGBoost,20,12
2024-12-25,ORS_Solution,XGBoost,70,67
2024-12-25,Paracetamol_500mg,XGBoost,39,45
2024-12-25,Antibiotic_A,XGBoost,26,23
2024-12-25,Sunscreen,XGBoost,22,22
2024-12-25,Travel_Antidiarrheal,XGBoost,22,22
2024-12-26,ORS_Solution,XGBoost,67,78
2024-12-26,Paracetamol_500mg,XGBoost,42,42
2024-12-26,Antibiotic_A,XGBoost,29,32
2024-12-26,Sunscreen,XGBoost,23,11
2024-12-26,Travel_Antidiarrheal,XGBoost,23,11
2024-12-27,ORS_Solution,XGBoost,69,64
2024-12-27,Paracetamol_500mg,XGBoost,39,52
2024-12-27,Antibiotic_A,XGBoost,27,26
